spo_id,name,service,payment
16155,Francis Parry,Foreign on Monday,NA
51671,William Godolphin,Foreign on Monday,NA
50539,W. Perwich,Foreign on Monday,NA
44705,Sir William Lockhart,Foreign on Monday,NA
43449,"Sir Richard Bulstrode, Resident at Brussels",Foreign on Monday,NA
35073,Pargiter,Foreign on Monday,NA
26525,Legat,Foreign on Monday,NA
17374,"George Hayles, Consul at Venice",Foreign on Monday,NA
52014,William Lord Allington,Foreign on Monday,NA
43299,Sir Philip Musgrave,Inland on Tuesdays,NA
29906,Margaret Williamson,Inland on Tuesdays,NA
40358,Sharrington Talbot,Inland on Tuesdays,5/0/0
11174,Daniel Fleming,Inland on Tuesdays,NA
42098,Sir Horatio Townsend,Inland on Tuesdays,5/0/0
44435,Sir W. Hartopp,Inland on Tuesdays,NA
14530,"Edward Rainbow, Bishop of Carlisle",Inland on Tuesdays,5/0/0
1564,Anthony Thorold,Inland on Tuesdays,NA
5463,Captain James Welsh,Inland on Tuesdays,NA
41275,Sir Edward Mansell,Inland on Tuesdays,5/0/0
1780,"Arthur Capel, Earl of Essex",Inland on Tuesdays,NA
38750,Robert Leigh,Inland on Tuesdays,NA
42988,Sir Joseph Cradock,Inland on Tuesdays,4/0/0
41798,Sir Gilbert Talbot,Inland on Tuesdays,NA
20751,"James Butler, Duke of Ormond",Inland on Tuesdays,NA
31544,"Michael Boyle, Archbishop of Dublin",Inland on Tuesdays,NA
43602,Sir Richard Wynn,Inland on Tuesdays,4/0/0
43775,Sir Robert Southwell,Inland on Tuesdays,NA
23222,"John Grenville, Earl of Bath",Inland on Tuesdays,NA
2259,Baron Coleraine,Inland on Tuesdays,5/0/0
41683,Sir George Fletcher,Inland on Tuesdays,4/0/0
12882,Dr. Thomas Smith,Inland on Tuesdays,5/0/0
41435,Sir Francis Bowes,Inland on Tuesdays,4/0/0
24263,"John Scudamore, Viscount Scudamore",Inland on Tuesdays,NA
40615,Silas Taylor,Inland on Tuesdays,NA
38978,Robert Scrivener,Inland on Tuesdays,2/0/0
34027,"Nathaniel Crew, Baron Crew, Bishop of Durham",Inland on Tuesdays,4/0/0
7398,Christopher Bowman,Inland on Tuesdays,5/0/0
12507,Dr. Isaac Basire,Inland on Tuesdays,5/0/0
36424,R. Dickson,Inland on Tuesdays,NA
44600,Sir William Dalston,Inland on Tuesdays,5/0/0
51324,William Chetwynd,Inland on Tuesdays,5/0/0
39193,"Robert, Viscount Bulkeley",Inland on Tuesdays,NA
21034,James Neale,Inland on Tuesdays,NA
26155,Lady Elizabeth Carr,Inland on Tuesdays,NA
Ralph Hope,NA,Inland on Tuesdays,NA
55098,NA,Inland on Tuesdays,NA
44252,Sir Thomas Peyton,Inland on Tuesdays,NA
29531,Major Nathaniel Darrell,Inland on Tuesdays,NA
1513,Anthony Isaacson,Saturday,NA
30657,Matthew Anderton,Saturday,NA
23740,John Man,Saturday,NA
14124,Edward Bodham,Saturday,NA
37299,Richard Bower,Saturday,NA
37893,Richard Potts,Saturday,NA
35671,Philip Lanyon,Saturday,NA
1564,Anthony Thorold,Saturday,NA
5385,Captain Hugh Acland,Saturday,NA
19858,Hugh Salesbury,Saturday,NA
48410,Thomas Moore,Saturday,NA
15895,Francis Bellott,Saturday,NA
42758,Sir John Newton,Saturday,NA
52803,William. Lord Widdrington,Saturday,5/0/0
8721,Colonel Samuel Sandys,Saturday,NA
41275,Sir Edward Mansell,Saturday,NA
38750,Robert Leigh,Saturday,NA
41798,Sir Gilbert Talbot,Saturday,NA
20751,"James Butler, Duke of Ormond",Saturday,NA
43775,Sir Robert Southwell,Saturday,NA
23222,"John Grenville, Earl of Bath",Saturday,NA
41683,Sir George Fletcher,Saturday,NA
24263,"John Scudamore, Viscount Scudamore",Saturday,NA
40615,Silas Taylor,Saturday,NA
34027,"Nathaniel Crew, Baron Crew, Bishop of Durham",Saturday,NA
12507,Dr. Isaac Basire,Saturday,NA
44600,Sir William Dalston,Saturday,NA
36424,R. Dickson,Saturday,NA
22728,John Cole,Saturday,NA
51324,William Chetwynd,Saturday,NA
39193,"Robert, Viscount Bulkeley",Saturday,NA
31170,Mayor of Newcastle,Saturday,NA
26155,Lady Elizabeth Carr,Saturday,NA
Ralph Hope,NA,Saturday,NA
55098,NA,Saturday,NA
44252,Sir Thomas Peyton,Saturday,NA
29531,Major Nathaniel Darrell,Saturday,NA
40805,Sir Andrew Hackett,Thursday,NA
37540,Richard Gleadow,Thursday,NA
32055,Morgan Lodge,Thursday,NA
38098,Richard Watts,Thursday,NA
